,STATE,Year of Data,Total Revenue from Federal Sources
34420,23,13,4334
34421,23,13,1637
34422,23,13,1426
34423,23,13,760
34424,23,13,3238
34425,23,13,993
34426,23,13,1512
34427,23,13,5149
34428,23,13,8131
34429,23,13,13063
34430,23,13,2581
34431,23,13,4588
34432,23,13,3520
34433,23,13,41721
34434,23,13,223
34435,23,13,938
34436,23,13,607
34437,23,13,224
34438,23,13,1001
34439,23,13,1045
34440,23,13,240
34441,23,13,343
34442,23,13,992
34443,23,13,594
34444,23,13,40
34445,23,13,265
34446,23,13,26
34447,23,13,9142
34448,23,13,416
34449,23,13,8
34450,23,13,1248
34451,23,13,1102
34452,23,13,2751
34453,23,13,1305
34454,23,13,1181
34455,23,13,1732
34456,23,13,3448
34457,23,13,152
34458,23,13,710
34459,23,13,1067
34460,23,13,303
34461,23,13,1030
34462,23,13,669
34463,23,13,1918
34464,23,13,382
34465,23,13,3197
34466,23,13,1134
34467,23,13,919
34468,23,13,546
34469,23,13,1372
34470,23,13,1335
34471,23,13,391
34472,23,13,266
34473,23,13,816
34474,23,13,505
34475,23,13,3871
34476,23,13,180
34477,23,13,140
34478,23,13,6553
34479,23,13,676
34480,23,13,824
34481,23,13,2352
34482,23,13,1502
34483,23,13,1053
34484,23,13,1446
34485,23,13,710
34486,23,13,4526
34487,23,13,330
34488,23,13,440
34489,23,13,1162
34490,23,13,861
34491,23,13,1210
34492,23,13,8299
34493,23,13,360
34494,23,13,6753
34495,23,13,434
34496,23,13,1578
34497,23,13,16654
34498,23,13,1172
34499,23,13,1515
34500,23,13,1571
34501,23,13,2338
34502,23,13,2584
34503,23,13,898
34504,23,13,61
34505,23,13,1156
34506,23,13,1102
34507,23,13,3296
34508,23,13,1639
34509,23,13,940
34510,23,13,832
34511,23,13,908
34512,23,13,3212
34513,23,13,436
34514,23,13,3179
34515,23,13,901
34516,23,13,4042
34517,23,13,3131
34518,23,13,2841
34519,23,13,2784
34520,23,13,1595
34521,23,13,1216
34522,23,13,701
34523,23,13,2630
34524,23,13,8585
34525,23,13,2330
34526,23,13,1302
34527,23,13,6228
34528,23,13,2398
34529,23,13,1173
34530,23,13,1274
34531,23,13,5671
34532,23,13,4213
34533,23,13,3886
34534,23,13,9173
34535,23,13,2247
34536,23,13,52219
34537,23,13,1866
34538,23,13,525
34539,23,13,169
34540,23,13,1961
34541,23,13,1489
34542,23,13,418
34543,23,13,351
34544,23,13,1462
34545,23,13,839
34546,23,13,851
34547,23,13,729
34548,23,13,1097
34549,23,13,788
34550,23,13,334
34551,23,13,1451
34552,23,13,548
34553,23,13,212
34554,23,13,840
34555,23,13,550
34556,23,13,2385
34557,23,13,498
34558,23,13,1773
34559,23,13,5106
34560,23,13,448
34561,23,13,1441
34562,23,13,12076
34563,23,13,5271
34564,23,13,556
34565,23,13,164
34566,23,13,347
34567,23,13,1362
34568,23,13,1698
34569,23,13,3317
34570,23,13,1119
34571,23,13,2247
34572,23,13,1693
34573,23,13,900
34574,23,13,216
34575,23,13,674
34576,23,13,397
34577,23,13,691
34578,23,13,19680
34579,23,13,2104
34580,23,13,531
34581,23,13,18974
34582,23,13,533
34583,23,13,1108
34584,23,13,559
34585,23,13,608
34586,23,13,1312
34587,23,13,530
34588,23,13,8068
34589,23,13,809
34590,23,13,6322
34591,23,13,306
34592,23,13,427
34593,23,13,577
34594,23,13,983
34595,23,13,309
34596,23,13,2412
34597,23,13,1973
34598,23,13,614
34599,23,13,2909
34600,23,13,120
34601,23,13,668
34602,23,13,314
34603,23,13,1700
34604,23,13,465
34605,23,13,286
34606,23,13,403
34607,23,13,685
34608,23,13,2082
34609,23,13,750
34610,23,13,400
34611,23,13,955
34612,23,13,952
34613,23,13,286
34614,23,13,244
34615,23,13,2494
34616,23,13,679
34617,23,13,262
34618,23,13,3792
34619,23,13,245
34620,23,13,1030
34621,23,13,873
34622,23,13,422
34623,23,13,661
34624,23,13,779
34625,23,13,640
34626,23,13,513
34627,23,13,1358
34628,23,13,3529
34629,23,13,1737
34630,23,13,0
34631,23,13,1200
34632,23,13,917
34633,23,13,1462
34634,23,13,379
34635,23,13,1397
34636,23,13,441
34637,23,13,570
34638,23,13,653
34639,23,13,693
34640,23,13,1900
34641,23,13,7308
34642,23,13,6015
34643,23,13,410
34644,23,13,361
34645,23,13,2291
34646,23,13,590
34647,23,13,2224
34648,23,13,441
34649,23,13,2666
34650,23,13,568
34651,23,13,2852
34652,23,13,11632
34653,23,13,878
34654,23,13,583
34655,23,13,18273
34656,23,13,1908
34657,23,13,2447
34658,23,13,228390
34659,23,13,1998
34660,23,13,1952
34661,23,13,2007
34662,23,13,3357
34663,23,13,1806
34664,23,13,559
34665,23,13,1130
34666,23,13,6249
34667,23,13,3050
34668,23,13,432
34669,23,13,952
34670,23,13,4624
34671,23,13,5717
34672,23,13,3795
34673,23,13,614
34674,23,13,3659
34675,23,13,2279
34676,23,13,4596
34677,23,13,651
34678,23,13,3948
34679,23,13,1462
34680,23,13,604
34681,23,13,4405
34682,23,13,10518
34683,23,13,3734
34684,23,13,85070
34685,23,13,6251
34686,23,13,2597
34687,23,13,1674
34688,23,13,1817
34689,23,13,678
34690,23,13,659
34691,23,13,2921
34692,24,13,682
34693,24,13,286
34694,24,13,556
34695,24,13,21171
34696,24,13,0
34697,24,13,3225
34698,24,13,3742
34699,24,13,2766
34700,24,13,2489
34701,24,13,3150
34702,24,13,1960
34703,24,13,928
34704,24,13,1218
34705,24,13,459
34706,24,13,5476
34707,24,13,525
34708,24,13,757
34709,24,13,12620
34710,24,13,2023
34711,24,13,164
34712,24,13,834
34713,24,13,1291
34714,24,13,375
34715,24,13,196
34716,24,13,4815
34717,24,13,262
34718,24,13,269
34719,24,13,569
34720,24,13,895
34721,24,13,110
34722,24,13,763
34723,24,13,504
34724,24,13,271
34725,24,13,444
34726,24,13,458
34727,24,13,1900
34728,24,13,243
34729,24,13,490
34730,24,13,380
34731,24,13,212
34732,24,13,3989
34733,24,13,628
34734,24,13,1097
34735,24,13,699
34736,24,13,643
34737,24,13,6122
34738,24,13,448
34739,24,13,710
34740,24,13,1229
34741,24,13,775
34742,24,13,1032
34743,24,13,464
34744,24,13,729
34745,24,13,515
34746,24,13,888
34747,24,13,360
34748,24,13,860
34749,24,13,2034
34750,24,13,0
34751,24,13,271
34752,24,13,806
34753,24,13,294
34754,24,13,4409
34755,24,13,186
34756,24,13,0
34757,24,13,917
34758,24,13,454
34759,24,13,454
34760,24,13,434
34761,24,13,364
34762,24,13,693
34763,24,13,6556
34764,24,13,934
34765,24,13,589
34766,24,13,6117
34767,24,13,2113
34768,24,13,2437
34769,24,13,3903
34770,24,13,370
34771,24,13,11573
34772,24,13,2282
34773,24,13,5350
34774,24,13,206
34775,24,13,2339
34776,24,13,561
34777,24,13,253
34778,24,13,420
34779,24,13,0
34780,24,13,2679
34781,24,13,215
34782,24,13,156
34783,24,13,429
34784,24,13,72
34785,24,13,498
34786,24,13,796
34787,24,13,563
34788,24,13,220
34789,24,13,283
34790,24,13,381
34791,24,13,431
34792,24,13,498
34793,24,13,2803
34794,24,13,201
34795,24,13,158
34796,24,13,465
34797,24,13,150
34798,24,13,273
34799,24,13,332
34800,24,13,1149
34801,24,13,349
34802,24,13,1538
34803,24,13,116
34804,24,13,75
34805,24,13,331
34806,24,13,6669
34807,24,13,3010
34808,24,13,3884
34809,24,13,2077
34810,24,13,4532
34811,24,13,68315
34812,24,13,850
34813,24,13,0
34814,24,13,2615
34815,24,13,1114
34816,24,13,861
34817,24,13,14167
34818,24,13,3977
34819,24,13,9918
34820,24,13,746
34821,24,13,3794
34822,24,13,4088
34823,24,13,3160
34824,24,13,2559
34825,24,13,413
34826,24,13,400
34827,24,13,480
34828,24,13,191
34829,24,13,382
34830,24,13,256
34831,24,13,1342
34832,24,13,564
34833,24,13,950
34834,24,13,2316
34835,24,13,2234
34836,24,13,0
34837,24,13,0
34838,24,13,984
34839,24,13,1804
34840,24,13,3115
34841,24,13,602
34842,24,13,0
34843,24,13,126
34844,24,13,613
34845,24,13,999
34846,24,13,712
34847,24,13,652
34848,24,13,35
34849,24,13,4329
34850,24,13,115
34851,24,13,279
34852,24,13,130
34853,24,13,169
34854,24,13,791
34855,24,13,245
34856,24,13,353
34857,24,13,592
34858,24,13,727
34859,24,13,292
34860,24,13,222
34861,24,13,1308
34862,24,13,451
34863,24,13,603
34864,24,13,89
34865,24,13,118
34866,24,13,98
34867,24,13,323
34868,24,13,127
34869,24,13,1348
34870,24,13,283
34871,24,13,605
34872,24,13,9639
34873,24,13,0
34874,24,13,983
34875,24,13,1499
34876,24,13,250
34877,24,13,0
34878,24,13,2066
34879,24,13,2398
34880,24,13,209
34881,24,13,166
34882,24,13,815
34883,24,13,530
34884,24,13,133
34885,24,13,1324
34886,24,13,214
34887,24,13,275
34888,24,13,127
34889,24,13,935
34890,24,13,1108
34891,24,13,527
34892,24,13,799
34893,24,13,538
34894,24,13,1102
34895,24,13,2267
34896,24,13,1177
34897,24,13,620
34898,24,13,177
34899,24,13,1802
34900,24,13,188
34901,24,13,499
34902,24,13,437
34903,24,13,0
34904,24,13,768
34905,24,13,171
34906,24,13,191
34907,24,13,3741
34908,24,13,174
34909,24,13,101
34910,24,13,430
34911,24,13,188
34912,24,13,370
34913,24,13,147
34914,24,13,796
34915,24,13,0
34916,24,13,738
34917,24,13,166
34918,24,13,89
34919,24,13,2644
34920,24,13,339
34921,24,13,54
34922,24,13,0
34923,24,13,271
34924,24,13,183
34925,24,13,197
34926,24,13,359
34927,24,13,562
34928,24,13,10971
34929,24,13,500
34930,24,13,959
34931,24,13,2148
34932,24,13,326
34933,24,13,259
34934,24,13,918
34935,24,13,228
34936,24,13,371
34937,24,13,370
34938,24,13,989
34939,24,13,698
34940,24,13,321
34941,24,13,1292
34942,24,13,884
34943,24,13,133
34944,24,13,1347
34945,24,13,879
34946,24,13,773
34947,24,13,868
34948,24,13,412
34949,24,13,906
34950,24,13,229
34951,24,13,410
34952,24,13,836
34953,24,13,167
34954,24,13,928
34955,24,13,583
34956,24,13,264
34957,24,13,117
34958,24,13,360
34959,24,13,253
34960,24,13,54
34961,24,13,767
34962,24,13,5575
34963,24,13,7988
34964,24,13,26
34965,24,13,5383
34966,24,13,4126
34967,24,13,921
34968,24,13,0
34969,24,13,70292
34970,24,13,142
34971,24,13,194
34972,24,13,179
34973,24,13,1402
34974,24,13,182
34975,24,13,76
34976,24,13,229
34977,24,13,342
34978,24,13,899
34979,24,13,311
34980,24,13,583
34981,24,13,358
34982,24,13,405
34983,24,13,3395
34984,24,13,1946
34985,24,13,152
34986,24,13,650
34987,24,13,122
34988,24,13,644
34989,24,13,741
34990,24,13,215
34991,24,13,637
34992,24,13,12497
34993,24,13,393
34994,24,13,210
34995,24,13,645
34996,24,13,1723
34997,24,13,583
34998,24,13,1275
34999,24,13,1293
35000,24,13,714
35001,24,13,2558
35002,24,13,658
35003,24,13,2448
35004,24,13,1981
35005,24,13,0
35006,24,13,836
35007,24,13,691
35008,24,13,827
35009,24,13,1327
35010,24,13,2096
35011,24,13,3595
35012,24,13,10
35013,24,13,477
35014,24,13,970
35015,24,13,4955
35016,24,13,1516
35017,24,13,438
35018,24,13,677
35019,24,13,526
35020,24,13,449
35021,24,13,312
35022,24,13,616
35023,24,13,422
35024,24,13,7894
35025,24,13,779
35026,24,13,511
35027,24,13,0
35028,24,13,626
35029,24,13,0
35030,24,13,0
35031,24,13,0
35032,24,13,1007
35033,24,13,2630
35034,24,13,801
35035,24,13,318
35036,24,13,375
35037,24,13,2879
35038,24,13,91
35039,24,13,289
35040,24,13,751
35041,24,13,70
35042,24,13,501
35043,24,13,381
35044,24,13,381
35045,24,13,283
35046,24,13,1164
35047,24,13,1099
35048,24,13,279
35049,24,13,1023
35050,24,13,2198
35051,24,13,115
35052,24,13,169
35053,24,13,850
35054,24,13,570
35055,24,13,357
35056,24,13,542
35057,24,13,338
35058,24,13,1142
35059,24,13,391
35060,24,13,478
35061,24,13,580
35062,24,13,1055
35063,24,13,3269
35064,24,13,1774
35065,24,13,7453
35066,24,13,475
35067,24,13,3168
35068,24,13,161
35069,24,13,305
35070,24,13,1248
35071,24,13,422
35072,24,13,103
35073,24,13,131
35074,24,13,408
35075,24,13,537
35076,24,13,2261
35077,24,13,2778
35078,24,13,3681
35079,24,13,656
35080,24,13,2496
35081,24,13,517
35082,24,13,509
35083,24,13,320
35084,24,13,578
35085,24,13,698
35086,24,13,317
35087,24,13,2497
35088,24,13,366
35089,24,13,1039
35090,24,13,373
35091,25,13,425
35092,25,13,631
35093,25,13,386
35094,25,13,8387
35095,25,13,4730
35096,25,13,3768
35097,25,13,2574
35098,25,13,2666
35099,25,13,1882
35100,25,13,3974
35101,25,13,3070
35102,25,13,774
35103,25,13,2105
35104,25,13,5822
35105,25,13,1605
35106,25,13,1351
35107,25,13,3504
35108,25,13,1560
35109,25,13,2265
35110,25,13,2642
35111,25,13,836
35112,25,13,2336
35113,25,13,3106
35114,25,13,700
35115,25,13,3053
35116,25,13,4834
35117,25,13,529
35118,25,13,8638
35119,25,13,3645
35120,25,13,5021
35121,25,13,3463
35122,25,13,4151
35123,25,13,22607
35124,25,13,9945
35125,25,13,3643
35126,25,13,3728
35127,25,13,2572
35128,25,13,4189
35129,25,13,2617
35130,25,13,5604
35131,25,13,4320
35132,25,13,7825
35133,25,13,6676
35134,25,13,7440
35135,25,13,2680
35136,25,13,2090
35137,25,13,15968
35138,25,13,57444
35139,25,13,6397
35140,25,13,3465
35141,25,13,8176
35142,25,13,1229
35143,25,13,3901
35144,25,13,3517
35145,25,13,15720
35146,25,13,3680
35147,25,13,15396
35148,25,13,6764
35149,25,13,2032
35150,25,13,1973
35151,25,13,2839
35152,25,13,3261
35153,25,13,5630
35154,25,13,8209
35155,25,13,3338
35156,25,13,3620
35157,25,13,2515
35158,25,13,6692
35159,25,13,1335
35160,25,13,12044
35161,25,13,6394
35162,25,13,3769
35163,25,13,5025
35164,25,13,8400
35165,25,13,7346
35166,25,13,1689
35167,25,13,6581
35168,25,13,7353
35169,25,13,3588
35170,25,13,2699
35171,25,13,8943
35172,25,13,5846
35173,25,13,5824
35174,25,13,8135
35175,25,13,3395
35176,25,13,4337
35177,25,13,3094
35178,25,13,4695
35179,25,13,2404
35180,25,13,2808
35181,25,13,4026
35182,25,13,1837
35183,25,13,1055
35184,25,13,1859
35185,25,13,4755
35186,25,13,1934
35187,25,13,1208
35188,25,13,2000
35189,25,13,4270
35190,25,13,6614
35191,25,13,2469
35192,25,13,4020
35193,25,13,5964
35194,25,13,6504
35195,25,13,2323
35196,25,13,2833
35197,25,13,907
35198,25,13,2207
35199,25,13,6526
35200,25,13,4061
35201,25,13,2147
35202,25,13,2314
35203,25,13,3072
35204,25,13,2985
35205,25,13,1392
35206,25,13,995
35207,25,13,2704
35208,25,13,3937
35209,25,13,14675
35210,25,13,2152
35211,25,13,4591
35212,25,13,2548
35213,25,13,6432
35214,25,13,3360
35215,25,13,2911
35216,25,13,7201
35217,25,13,5411
35218,25,13,2101
35219,25,13,1813
35220,25,13,1869
35221,25,13,4137
35222,25,13,1363
35223,25,13,3353
35224,25,13,4270
35225,25,13,3665
35226,25,13,2498
35227,25,13,2454
35228,25,13,3852
35229,25,13,11957
35230,25,13,14105
35231,25,13,4622
35232,25,13,1889
35233,25,13,2955
35234,25,13,5252
35235,25,13,2644
35236,25,13,3084
35237,25,13,4736
35238,25,13,1677
35239,25,13,1562
35240,25,13,4904
35241,25,13,2722
35242,26,13,281
35243,26,13,2657
35244,26,13,271
35245,26,13,82
35246,26,13,297
35247,26,13,1342
35248,26,13,165
35249,26,13,345
35250,26,13,266
35251,26,13,131
35252,26,13,2653
35253,26,13,583
35254,26,13,2405
35255,26,13,339
35256,26,13,2578
35257,26,13,591
35258,26,13,321
35259,26,13,982
35260,26,13,544
35261,26,13,297
35262,26,13,1578
35263,26,13,531
35264,26,13,477
35265,26,13,148
35266,26,13,915
35267,26,13,50
35268,26,13,145
35269,26,13,244
35270,26,13,529
35271,26,13,684
35272,26,13,561
35273,26,13,2044
35274,26,13,106
35275,26,13,956
35276,26,13,561
35277,26,13,298
35278,26,13,15724
35279,26,13,872
35280,26,13,762
35281,26,13,566
35282,26,13,543
35283,26,13,741
35284,26,13,319
35285,26,13,195
35286,26,13,13149
35287,26,13,421
35288,26,13,1028
35289,26,13,653
35290,26,13,6333
35291,26,13,322
35292,26,13,113
35293,26,13,73
35294,26,13,538
35295,26,13,81
35296,26,13,93
35297,26,13,29
35298,26,13,326
35299,26,13,519
35300,26,13,302
35301,26,13,1742
35302,26,13,1465
35303,26,13,5076
35304,26,13,334
35305,26,13,367
35306,26,13,618
35307,26,13,394
35308,26,13,2613
35309,26,13,256
35310,26,13,6817
35311,26,13,287
35312,26,13,121
35313,26,13,795
35314,26,13,146
35315,26,13,229
35316,26,13,137
35317,26,13,1056
35318,26,13,1132
35319,26,13,399
35320,26,13,4208
35321,26,13,693
35322,26,13,345
35323,26,13,331
35324,26,13,1598
35325,26,13,2250
35326,26,13,933
35327,26,13,142
35328,26,13,153
35329,26,13,1582
35330,26,13,655
35331,26,13,300
35332,26,13,176
35333,26,13,117
35334,26,13,502
35335,26,13,343
35336,26,13,330
35337,26,13,762
35338,26,13,5061
35339,26,13,2964
35340,26,13,656
35341,26,13,874
35342,26,13,1183
35343,26,13,100
35344,26,13,2043
35345,26,13,1288
35346,26,13,3869
35347,26,13,40
35348,26,13,13878
35349,26,13,1046
35350,26,13,1246
35351,26,13,446
35352,26,13,522
35353,26,13,307
35354,26,13,447
35355,26,13,7918
35356,26,13,476
35357,26,13,155
35358,26,13,1351
35359,26,13,117
35360,26,13,216
35361,26,13,231
35362,26,13,104
35363,26,13,1419
35364,26,13,1103
35365,26,13,1072
35366,26,13,110
35367,26,13,151
35368,26,13,425
35369,26,13,377
35370,26,13,2519
35371,26,13,416
35372,26,13,93
35373,26,13,187
35374,26,13,140
35375,26,13,332
35376,26,13,439
35377,26,13,115
35378,26,13,124
35379,26,13,102
35380,26,13,1160
35381,26,13,132
35382,26,13,274
35383,26,13,335
35384,26,13,333
35385,26,13,2177
35386,26,13,176
35387,26,13,175
35388,26,13,721
35389,26,13,790
35390,26,13,554
35391,26,13,590
35392,26,13,3587
35393,26,13,2213
35394,26,13,994
35395,26,13,118
35396,26,13,55
35397,26,13,387
35398,26,13,344
35399,26,13,2671
35400,26,13,2062
35401,26,13,203
35402,26,13,1767
35403,26,13,2207
35404,26,13,3085
35405,26,13,649
35406,26,13,1881
35407,26,13,438
35408,26,13,292
35409,26,13,307
35410,26,13,599
35411,26,13,711
35412,26,13,1444
35413,26,13,3567
35414,26,13,27916
35415,26,13,839
35416,26,13,323
35417,26,13,3284
35418,26,13,119
35419,26,13,77
35420,26,13,93
35421,26,13,1110
35422,26,13,222
35423,26,13,237
35424,26,13,163
35425,26,13,268
35426,26,13,236
35427,26,13,795
35428,26,13,1032
35429,26,13,2000
35430,26,13,60
35431,26,13,142
35432,26,13,84
35433,26,13,63
35434,26,13,775
35435,26,13,819
35436,26,13,860
35437,26,13,498
35438,26,13,408
35439,26,13,111
35440,26,13,231
35441,26,13,202
35442,26,13,446
35443,26,13,273
35444,26,13,388
35445,26,13,281
35446,26,13,222
35447,26,13,535
35448,26,13,269
35449,26,13,1534
35450,26,13,507
35451,26,13,2535
35452,26,13,1618
35453,26,13,185
35454,26,13,439
35455,26,13,366
35456,26,13,1836
35457,26,13,7677
35458,26,13,4462
35459,26,13,4393
35460,26,13,1341
35461,26,13,5358
35462,26,13,11074
35463,26,13,22489
35464,26,13,38765
35465,26,13,6593
35466,26,13,249
35467,26,13,1425
35468,26,13,7841
35469,26,13,206
35470,26,13,1956
35471,26,13,4540
35472,26,13,1046
35473,26,13,16019
35474,26,13,820
35475,26,13,3485
35476,26,13,349
35477,26,13,2903
35478,26,13,7049
35479,26,13,1564
35480,26,13,1222
35481,26,13,2618
35482,26,13,4862
35483,26,13,548
35484,26,13,529
35485,26,13,227
35486,26,13,1683
35487,26,13,420
35488,26,13,432
35489,26,13,1107
35490,26,13,241
35491,26,13,4900
35492,26,13,365
35493,26,13,2819
35494,26,13,546
35495,26,13,625
35496,26,13,131
35497,26,13,581
35498,26,13,4606
35499,26,13,302
35500,26,13,379
35501,26,13,711
35502,26,13,963
35503,26,13,1458
35504,26,13,281
35505,26,13,2345
35506,26,13,614
35507,26,13,618
35508,26,13,1502
35509,26,13,881
35510,26,13,658
35511,26,13,496
35512,26,13,727
35513,26,13,1013
35514,26,13,310
35515,26,13,3519
35516,26,13,1044
35517,26,13,1014
35518,26,13,212
35519,26,13,236
35520,26,13,167
35521,26,13,494
35522,26,13,1716
35523,26,13,209
35524,26,13,114
35525,26,13,4933
35526,26,13,212
35527,26,13,176
35528,26,13,151
35529,26,13,451
35530,26,13,133
35531,26,13,976
35532,26,13,1056
35533,26,13,3528
35534,26,13,767
35535,26,13,316
35536,26,13,3729
35537,26,13,285
35538,26,13,785
35539,26,13,697
35540,26,13,307
35541,26,13,2938
35542,26,13,594
35543,26,13,151
35544,26,13,1846
35545,26,13,227
35546,26,13,1974
35547,26,13,1151
35548,26,13,923
35549,26,13,160
35550,26,13,161
35551,26,13,94
35552,26,13,144
35553,26,13,495
35554,26,13,85
35555,26,13,154
35556,26,13,601
35557,26,13,377
35558,26,13,232
35559,26,13,1204
35560,26,13,513
35561,26,13,861
35562,26,13,1410
35563,26,13,437
35564,26,13,2827
35565,26,13,169
35566,26,13,927
35567,26,13,677
35568,26,13,1772
35569,26,13,5117
35570,26,13,1465
35571,26,13,191
35572,26,13,383
35573,26,13,200
35574,26,13,209
35575,26,13,113
35576,26,13,1139
35577,26,13,182
35578,26,13,133
35579,26,13,839
35580,26,13,312
35581,26,13,319
35582,26,13,752
35583,26,13,232
35584,26,13,424
35585,26,13,502
35586,26,13,510
35587,26,13,405
35588,26,13,850
35589,26,13,260
35590,26,13,164
35591,26,13,1813
35592,26,13,243
35593,26,13,230
35594,26,13,1933
35595,26,13,486
35596,26,13,125
35597,26,13,637
35598,26,13,1054
35599,26,13,212
35600,26,13,2009
35601,26,13,350
35602,26,13,316
35603,26,13,471
35604,26,13,187
35605,26,13,4397
35606,26,13,473
35607,26,13,550
35608,26,13,3999
35609,26,13,2076
35610,26,13,234
35611,26,13,68
35612,26,13,493
35613,26,13,766
35614,26,13,586
35615,26,13,492
35616,26,13,5370
35617,26,13,2002
35618,26,13,321
35619,26,13,2958
35620,26,13,542
35621,26,13,356
35622,26,13,522
35623,26,13,793
35624,26,13,1133
35625,26,13,575
35626,26,13,839
35627,26,13,737
35628,26,13,600
35629,26,13,93
35630,26,13,28352
35631,26,13,761
35632,26,13,607
35633,26,13,325
35634,26,13,724
35635,26,13,2644
35636,26,13,255
35637,26,13,167
35638,26,13,195
35639,26,13,762
35640,26,13,399
35641,26,13,1227
35642,26,13,371
35643,26,13,159
35644,26,13,955
35645,26,13,562
35646,26,13,473
35647,26,13,2298
35648,26,13,230
35649,26,13,363
35650,26,13,8879
35651,26,13,4096
35652,26,13,7826
35653,26,13,5047
35654,26,13,877
35655,26,13,378
35656,26,13,461
35657,26,13,621
35658,26,13,98
35659,26,13,816
35660,26,13,3118
35661,26,13,3510
35662,26,13,2432
35663,26,13,1553
35664,26,13,1053
35665,26,13,1087
35666,26,13,249
35667,26,13,611
35668,26,13,6127
35669,26,13,10825
35670,26,13,1361
35671,26,13,15820
35672,26,13,4177
35673,26,13,1720
35674,26,13,510
35675,26,13,951
35676,26,13,5847
35677,26,13,5163
35678,26,13,4050
35679,26,13,4839
35680,26,13,7945
35681,26,13,1313
35682,26,13,3965
35683,26,13,3197
35684,26,13,438
35685,26,13,1620
35686,26,13,40064
35687,26,13,68192
35688,26,13,1638
35689,26,13,61
35690,26,13,149
35691,26,13,2661
35692,26,13,62
35693,26,13,43
35694,26,13,55
35695,26,13,434
35696,26,13,423
35697,26,13,738
35698,26,13,195
35699,26,13,556
35700,26,13,527
35701,26,13,899
35702,26,13,155
35703,26,13,501
35704,26,13,345
35705,26,13,879
35706,26,13,3549
35707,26,13,377
35708,26,13,1151
35709,26,13,796
35710,26,13,258
35711,26,13,430
35712,26,13,337
35713,26,13,585
35714,26,13,1969
35715,26,13,1651
35716,26,13,361
35717,26,13,679
35718,26,13,877
35719,26,13,467
35720,26,13,712
35721,26,13,307
35722,26,13,1649
35723,26,13,120
35724,26,13,273
35725,26,13,808
35726,26,13,121
35727,26,13,235
35728,26,13,3153
35729,26,13,1322
35730,26,13,2352
35731,26,13,424
35732,26,13,237
35733,26,13,1119
35734,26,13,1255
35735,26,13,810
35736,26,13,520
35737,26,13,153
35738,26,13,176
35739,26,13,589
35740,26,13,517
35741,26,13,3025
35742,26,13,279
35743,26,13,352
35744,26,13,2528
35745,26,13,1381
35746,26,13,1116
35747,26,13,2381
35748,26,13,287
35749,26,13,391
35750,26,13,1455
35751,26,13,988
35752,26,13,697
35753,26,13,2351
35754,26,13,302
35755,26,13,1553
35756,26,13,381
35757,26,13,931
35758,26,13,159
35759,26,13,917
35760,26,13,2186
35761,26,13,662
35762,27,13,176
35763,27,13,634
35764,27,13,28
35765,27,13,19
35766,27,13,2
35767,27,13,11
35768,27,13,37
35769,27,13,19
35770,27,13,97
35771,27,13,46
35772,27,13,1131
35773,27,13,762
35774,27,13,1109
35775,27,13,7243
35776,27,13,2345
35777,27,13,1862
35778,27,13,1479
35779,27,13,23
35780,27,13,6
35781,27,13,52
35782,27,13,93
35783,27,13,23
35784,27,13,3121
35785,27,13,831
35786,27,13,74
35787,27,13,21
35788,27,13,1950
35789,27,13,835
35790,27,13,23
35791,27,13,441
35792,27,13,24
35793,27,13,120
35794,27,13,204
35795,27,13,123
35796,27,13,146
35797,27,13,36
35798,27,13,200
35799,27,13,27
35800,27,13,57
35801,27,13,0
35802,27,13,5
35803,27,13,118
35804,27,13,18
35805,27,13,81
35806,27,13,164
35807,27,13,246
35808,27,13,20
35809,27,13,266
35810,27,13,24
35811,27,13,264
35812,27,13,9
35813,27,13,9149
35814,27,13,3312
35815,27,13,297
35816,27,13,4
35817,27,13,382
35818,27,13,0
35819,27,13,19
35820,27,13,20
35821,27,13,0
35822,27,13,175
35823,27,13,6
35824,27,13,186
35825,27,13,4
35826,27,13,148
35827,27,13,145
35828,27,13,28
35829,27,13,109
35830,27,13,15
35831,27,13,9
35832,27,13,33
35833,27,13,33
35834,27,13,18
35835,27,13,11
35836,27,13,12
35837,27,13,21
35838,27,13,1040
35839,27,13,31
35840,27,13,291
35841,27,13,122
35842,27,13,25
35843,27,13,52
35844,27,13,738
35845,27,13,15
35846,27,13,20
35847,27,13,34
35848,27,13,28
35849,27,13,469
35850,27,13,1262
35851,27,13,83
35852,27,13,128
35853,27,13,35
35854,27,13,7
35855,27,13,30
35856,27,13,35
35857,27,13,655
35858,27,13,49
35859,27,13,87
35860,27,13,21
35861,27,13,92
35862,27,13,27
35863,27,13,44
35864,27,13,35
35865,27,13,5
35866,27,13,86
35867,27,13,687
35868,27,13,19
35869,27,13,184
35870,27,13,32
35871,27,13,56
35872,27,13,1200
35873,27,13,52
35874,27,13,100
35875,27,13,149
35876,27,13,127
35877,27,13,98
35878,27,13,11
35879,27,13,477
35880,27,13,107
35881,27,13,407
35882,27,13,198
35883,27,13,1406
35884,27,13,587
35885,27,13,3317
35886,27,13,1364
35887,27,13,893
35888,27,13,224
35889,27,13,157
35890,27,13,48
35891,27,13,478
35892,27,13,211
35893,27,13,67
35894,27,13,199
35895,27,13,11
35896,27,13,28
35897,27,13,11
35898,27,13,293
35899,27,13,21
35900,27,13,158
35901,27,13,28
35902,27,13,50
35903,27,13,1856
35904,27,13,112
35905,27,13,2727
