,STATE,Year of Data,Total Revenue from Federal Sources
317,3,15,90
318,3,15,6088
319,3,15,646
320,3,15,1642
321,3,15,45
322,3,15,1941
323,3,15,1506
324,3,15,115
325,3,15,194
326,3,15,46
327,3,15,0
328,3,15,2080
329,3,15,3950
330,3,15,8496
331,3,15,390
332,3,15,16469
333,3,15,1870
334,3,15,1690
335,3,15,2694
336,3,15,2008
337,3,15,20657
338,3,15,5239
339,3,15,70
340,3,15,78
341,3,15,10956
342,3,15,537
343,3,15,761
344,3,15,12790
345,3,15,1371
346,3,15,348
347,3,15,0
348,3,15,6620
349,3,15,9507
350,3,15,8343
351,3,15,0
352,3,15,2914
353,3,15,12
354,3,15,26791
355,3,15,310
356,3,15,1364
357,3,15,52565
358,3,15,3918
359,3,15,310
360,3,15,3303
361,3,15,8337
362,3,15,3989
363,3,15,5467
364,3,15,2819
365,3,15,6037
366,3,15,1409
367,3,15,5612
368,3,15,361
369,3,15,202
370,3,15,612
371,3,15,245
372,3,15,5981
373,3,15,559
374,3,15,1301
375,3,15,704
376,3,15,2185
377,3,15,22
378,3,15,3105
379,3,15,3812
380,3,15,7769
381,3,15,170
382,3,15,145
383,3,15,275
384,3,15,96
385,3,15,239
386,3,15,82
387,3,15,1841
388,3,15,244
389,3,15,2079
390,3,15,139
391,3,15,2450
392,3,15,0
393,3,15,4378
394,3,15,144
395,3,15,835
396,3,15,3045
397,3,15,231
398,3,15,5
399,3,15,0
400,3,15,398
401,3,15,0
402,3,15,0
403,3,15,27
404,3,15,158
405,3,15,107
406,3,15,351
407,3,15,643
408,3,15,560
409,3,15,318
410,3,15,6506
411,3,15,9900
412,3,15,334
413,3,15,255
414,3,15,4974
415,3,15,612
416,3,15,11998
417,3,15,14685
418,3,15,68
419,3,15,9492
420,3,15,348
421,3,15,165
422,3,15,156
423,3,15,177
424,4,15,1264
425,4,15,2013
426,4,15,2153
427,4,15,2570
428,4,15,856
429,4,15,3611
430,4,15,760
431,4,15,1492
432,4,15,7906
433,4,15,672
434,4,15,1411
435,4,15,1670
436,4,15,15630
437,4,15,3556
438,4,15,585
439,4,15,1056
440,4,15,500
441,4,15,2857
442,4,15,633
443,4,15,756
444,4,15,381
445,4,15,789
446,4,15,2903
447,4,15,798
448,4,15,2294
449,4,15,788
450,4,15,1940
451,4,15,998
452,4,15,2252
453,4,15,2211
454,4,15,953
455,4,15,2020
456,4,15,1214
457,4,15,882
458,4,15,717
459,4,15,702
460,4,15,1823
461,4,15,639
462,4,15,1111
463,4,15,1705
464,4,15,426
465,4,15,1221
466,4,15,3687
467,4,15,496
468,4,15,432
469,4,15,1398
470,4,15,2281
471,4,15,496
472,4,15,1191
473,4,15,7783
474,4,15,890
475,4,15,3368
476,4,15,1469
477,4,15,800
478,4,15,1580
479,4,15,2972
480,4,15,1071
481,4,15,856
482,4,15,603
483,4,15,6409
484,4,15,1506
485,4,15,9950
486,4,15,2514
487,4,15,1451
488,4,15,3158
489,4,15,1223
490,4,15,2217
491,4,15,1798
492,4,15,1809
493,4,15,2915
494,4,15,3156
495,4,15,8746
496,4,15,2241
497,4,15,433
