,State,Total Population,Total Below Poverty Level,Percentage Below Poverty Level,Year
306,Alabama,1084701,265901,24.5,2016
307,Alaska,183790,25938,14.1,2016
308,Arizona,1602166,378800,23.6,2016
309,Arkansas,693626,165100,23.8,2016
310,California,8961540,1785347,19.9,2016
311,Colorado,1242620,166204,13.4,2016
312,Connecticut,743032,95597,12.9,2016
313,Delaware,201224,35002,17.4,2016
314,District of Columbia,118383,30551,25.8,2016
315,Florida,4080165,858711,21.0,2016
316,Georgia,2472797,566005,22.9,2016
317,Hawaii,301115,30507,10.1,2016
318,Idaho,430772,76266,17.7,2016
319,Illinois,2883787,511679,17.7,2016
320,Indiana,1544329,301156,19.5,2016
321,Iowa,711566,105032,14.8,2016
322,Kansas,704613,99323,14.1,2016
323,Kentucky,989252,247780,25.0,2016
324,Louisiana,1096646,313926,28.6,2016
325,Maine,248446,42753,17.2,2016
326,Maryland,1326304,168811,12.7,2016
327,Massachusetts,1357280,184743,13.6,2016
328,Michigan,2150156,445803,20.7,2016
329,Minnesota,1266718,160626,12.7,2016
330,Mississippi,711595,211466,29.7,2016
331,Missouri,1361864,261353,19.2,2016
332,Montana,224160,33818,15.1,2016
333,Nebraska,463863,65847,14.2,2016
334,Nevada,665164,126874,19.1,2016
335,New Hampshire,255309,20141,7.9,2016
336,New Jersey,1961260,285479,14.6,2016
337,New Mexico,482338,145284,30.1,2016
338,New York,4100325,847288,20.7,2016
339,North Carolina,2259252,489553,21.7,2016
340,North Dakota,170455,21210,12.4,2016
341,Ohio,2558132,524660,20.5,2016
342,Oklahoma,945261,216713,22.9,2016
343,Oregon,851463,144361,17.0,2016
344,Pennsylvania,2624826,486029,18.5,2016
345,Rhode Island,206562,35106,17.0,2016
346,South Carolina,1083041,248595,23.0,2016
347,South Dakota,210420,35460,16.9,2016
348,Tennessee,1476765,334238,22.6,2016
349,Texas,7211897,1619026,22.4,2016
350,Utah,910019,100801,11.1,2016
351,Vermont,116117,17167,14.8,2016
352,Virginia,1835772,261817,14.3,2016
353,Washington,1604190,219668,13.7,2016
354,West Virginia,368682,88351,24.0,2016
355,Wisconsin,1260543,198480,15.7,2016
356,Wyoming,138300,15367,11.1,2016
357,Alabama,1078642,265078,24.6,2017
358,Alaska,180073,26865,14.9,2017
359,Arizona,1601106,332299,20.8,2017
360,Arkansas,696657,156427,22.5,2017
361,California,8921391,1618889,18.1,2017
362,Colorado,1241469,149043,12.0,2017
363,Connecticut,733501,92583,12.6,2017
364,Delaware,199186,36755,18.5,2017
365,District of Columbia,123351,31618,25.6,2017
366,Florida,4136520,840179,20.3,2017
367,Georgia,2475479,519099,21.0,2017
368,Hawaii,299100,34441,11.5,2017
369,Idaho,437983,67147,15.3,2017
370,Illinois,2856679,486196,17.0,2017
371,Indiana,1538059,282390,18.4,2017
372,Iowa,716709,88070,12.3,2017
373,Kansas,699236,103689,14.8,2017
374,Kentucky,992905,222906,22.4,2017
375,Louisiana,1094414,306513,28.0,2017
376,Maine,248499,32567,13.1,2017
377,Maryland,1332363,159886,12.0,2017
378,Massachusetts,1348827,182470,13.5,2017
379,Michigan,2127889,419449,19.7,2017
380,Minnesota,1272667,149926,11.8,2017
381,Mississippi,703524,189541,26.9,2017
382,Missouri,1353831,252041,18.6,2017
383,Montana,223580,32857,14.7,2017
384,Nebraska,465292,65591,14.1,2017
385,Nevada,671549,124514,18.5,2017
386,New Hampshire,252552,25909,10.3,2017
387,New Jersey,1952749,272251,13.9,2017
388,New Mexico,480372,130502,27.2,2017
389,New York,4076122,803171,19.7,2017
390,North Carolina,2271790,481494,21.2,2017
391,North Dakota,169315,18519,10.9,2017
392,Ohio,2553722,513238,20.1,2017
393,Oklahoma,943075,202674,21.5,2017
394,Oregon,855840,141151,16.5,2017
395,Pennsylvania,2619774,444486,17.0,2017
396,Rhode Island,203723,33858,16.6,2017
397,South Carolina,1084138,245023,22.6,2017
398,South Dakota,206866,34442,16.6,2017
399,Tennessee,1484727,314781,21.2,2017
400,Texas,7282473,1524712,20.9,2017
401,Utah,913971,97832,10.7,2017
402,Vermont,115865,15946,13.8,2017
403,Virginia,1840453,258133,14.0,2017
404,Washington,1622308,232452,14.3,2017
405,West Virginia,362183,93758,25.9,2017
406,Wisconsin,1255093,181828,14.5,2017
407,Wyoming,135333,18013,13.3,2017
408,Alaska,180258,25327,14.1,2018
409,Maine,240662,34878,14.5,2018
410,North Carolina,2257634,455971,20.2,2018
411,Missouri,1347491,247209,18.3,2018
412,Pennsylvania,2594554,434736,16.8,2018
413,Michigan,2122572,412692,19.4,2018
414,Nebraska,465564,60110,12.9,2018
415,Oregon,854971,134383,15.7,2018
416,Wyoming,130118,17986,13.8,2018
417,California,8863930,1541067,17.4,2018
418,Mississippi,695058,192952,27.8,2018
419,Connecticut,726550,102083,14.1,2018
420,Texas,7310961,1545362,21.1,2018
421,Idaho,439332,62855,14.3,2018
422,Maryland,1317517,152237,11.6,2018
423,New Mexico,470978,124024,26.3,2018
424,Alabama,1070267,255186,23.8,2018
