,State,Year,Data
243,Idaho,2012,4000
244,Idaho,2014,3000
245,Idaho,2011,4000
246,Idaho,2015,6000
247,Idaho,2010,5000
248,Idaho,2009,6000
249,Idaho,2018,5000
250,Idaho,2013,6000
251,Idaho,2008,6000
252,Idaho,2007,6000
253,Idaho,2006,6000
254,Idaho,2005,7000
255,Idaho,2003,6000
256,Idaho,2004,5000
257,Idaho,2002,8000
258,Idaho,2001,9000
259,Idaho,2000,9000
260,Illinois,2000,60000
261,Illinois,2001,65000
262,Illinois,2002,49000
263,Illinois,2004,41000
264,Illinois,2003,49000
265,Illinois,2005,44000
266,Illinois,2006,41000
267,Illinois,2007,45000
268,Illinois,2008,44000
269,Illinois,2013,25000
270,Illinois,2018,23000
271,Illinois,2009,44000
272,Illinois,2010,37000
273,Illinois,2015,23000
274,Illinois,2011,36000
275,Illinois,2012,26000
276,Illinois,2014,25000
277,Illinois,2017,25000
278,Illinois,2016,26000
279,Illinois,2019,24000
280,Indiana,2019,21000
281,Indiana,2016,18000
282,Indiana,2017,22000
283,Indiana,2014,18000
284,Indiana,2012,23000
285,Indiana,2011,23000
286,Indiana,2015,18000
287,Indiana,2010,25000
288,Indiana,2009,27000
289,Indiana,2018,19000
290,Indiana,2013,19000
291,Indiana,2008,30000
292,Indiana,2007,25000
293,Indiana,2006,28000
294,Indiana,2005,27000
295,Indiana,2003,34000
296,Indiana,2004,40000
297,Indiana,2002,39000
298,Indiana,2001,45000
299,Indiana,2000,44000
300,Iowa,2000,8000
301,Iowa,2001,6000
302,Iowa,2002,7000
303,Iowa,2004,5000
304,Iowa,2003,9000
305,Iowa,2005,8000
306,Iowa,2006,8000
307,Iowa,2007,7000
308,Iowa,2008,6000
309,Iowa,2013,5000
310,Iowa,2018,8000
311,Iowa,2009,9000
312,Iowa,2010,8000
313,Iowa,2015,6000
314,Iowa,2011,8000
315,Iowa,2012,6000
316,Iowa,2014,6000
317,Iowa,2017,8000
318,Iowa,2016,7000
319,Iowa,2019,7000
320,Kansas,2019,6000
321,Kansas,2016,7000
322,Kansas,2017,7000
323,Kansas,2014,6000
324,Kansas,2012,8000
325,Kansas,2011,7000
326,Kansas,2015,6000
327,Kansas,2010,7000
328,Kansas,2009,8000
329,Kansas,2018,6000
330,Kansas,2013,5000
331,Kansas,2008,8000
332,Kansas,2007,7000
333,Kansas,2006,7000
334,Kansas,2005,9000
335,Kansas,2003,8000
336,Kansas,2004,10000
337,Kansas,2002,10000
338,Kansas,2001,11000
339,Kansas,2000,15000
340,Kentucky,2000,22000
341,Kentucky,2001,21000
342,Kentucky,2002,22000
343,Kentucky,2004,20000
344,Kentucky,2003,18000
345,Kentucky,2005,18000
346,Kentucky,2006,20000
347,Kentucky,2007,19000
348,Kentucky,2008,16000
349,Kentucky,2013,9000
350,Kentucky,2018,10000
351,Kentucky,2009,17000
352,Kentucky,2010,15000
353,Kentucky,2015,10000
354,Kentucky,2011,10000
355,Kentucky,2012,10000
356,Kentucky,2014,9000
357,Kentucky,2017,10000
358,Kentucky,2016,13000
359,Kentucky,2019,12000
360,Louisiana,2019,14000
361,Louisiana,2016,16000
362,Louisiana,2017,14000
363,Louisiana,2014,16000
364,Louisiana,2012,19000
365,Louisiana,2011,18000
366,Louisiana,2015,14000
367,Louisiana,2010,26000
368,Louisiana,2009,20000
369,Louisiana,2018,11000
370,Louisiana,2013,20000
371,Louisiana,2008,27000
372,Louisiana,2007,26000
373,Louisiana,2006,31000
374,Louisiana,2005,21000
375,Louisiana,2003,29000
376,Louisiana,2004,27000
377,Louisiana,2002,31000
378,Louisiana,2001,30000
379,Louisiana,2000,29000
380,Maine,2000,3000
381,Maine,2001,5000
382,Maine,2002,5000
383,Maine,2004,3000
384,Maine,2003,5000
385,Maine,2005,4000
386,Maine,2006,3000
387,Maine,2007,4000
388,Maine,2008,4000
389,Maine,2013,2000
390,Maine,2018,3000
391,Maine,2009,3000
392,Maine,2010,3000
393,Maine,2015,2000
394,Maine,2011,2000
395,Maine,2012,2000
396,Maine,2014,2000
397,Maine,2017,2000
398,Maine,2016,2000
399,Maine,2019,2000
400,Maryland,2019,13000
401,Maryland,2016,10000
402,Maryland,2017,9000
403,Maryland,2014,11000
404,Maryland,2012,14000
405,Maryland,2011,15000
406,Maryland,2015,12000
407,Maryland,2010,18000
408,Maryland,2009,16000
409,Maryland,2018,7000
410,Maryland,2013,12000
411,Maryland,2008,20000
412,Maryland,2007,22000
413,Maryland,2006,21000
414,Maryland,2005,21000
415,Maryland,2003,16000
416,Maryland,2004,21000
417,Maryland,2002,21000
418,Maryland,2001,22000
419,Maryland,2000,28000
420,Massachusetts,2000,21000
421,Massachusetts,2001,13000
422,Massachusetts,2002,17000
423,Massachusetts,2004,21000
424,Massachusetts,2003,14000
