,Selected Geographies,Total,Not enrolled,Year
4,Arizona,1040145,676502,2013
5,Arkansas,406848,315795,2013
6,California,6266712,4080516,2013
7,Colorado,793051,528277,2013
8,Connecticut,533334,345001,2013
9,Delaware,128797,91341,2013
10,District of Columbia,133696,96595,2013
11,Florida,2582462,1802662,2013
12,Georgia,1257961,904890,2013
13,Hawaii,194794,142715,2013
14,Idaho,208954,141636,2013
15,Illinois,1985034,1289020,2013
16,Indiana,909544,665507,2013
17,Iowa,445260,318671,2013
18,Kansas,445561,300871,2013
19,Kentucky,626274,465517,2013
20,Louisiana,651383,460399,2013
21,Maine,167263,119559,2013
22,Maryland,876311,598918,2013
23,Massachusetts,1002790,654396,2013
24,Michigan,1345765,881770,2013
25,Minnesota,758245,496830,2013
26,Mississippi,382643,271167,2013
27,Missouri,823496,594495,2013
28,Montana,140861,112020,2013
29,Nebraska,256268,179770,2013
30,Nevada,420519,331099,2013
31,New Hampshire,179782,125489,2013
32,New Jersey,1316900,819309,2013
33,New Mexico,267248,201468,2013
34,New York,3426346,2291347,2013
35,North Carolina,1371547,935303,2013
36,North Dakota,124976,100293,2013
37,Ohio,1665264,1227480,2013
38,Oklahoma,527385,385816,2013
39,Oregon,564399,371094,2013
40,Pennsylvania,1950752,1368994,2013
41,Rhode Island,145684,92667,2013
42,South Carolina,676498,436418,2013
43,South Dakota,129507,85284,2013
44,Tennessee,832672,652128,2013
45,Texas,4233902,3128747,2013
46,Utah,464660,336340,2013
47,Vermont,84227,63297,2013
48,Virginia,1252931,884517,2013
49,Washington,951194,704855,2013
50,West Virginia,235613,190968,2013
51,Wisconsin,815479,539421,2013
52,Wyoming,83676,61689,2013
0, -> Total,47371425,32938200,2014
1, -> Total -> Total No,47371425,32938200,2014
2,Alabama,668947,478842,2014
3,Alaska,121113,92016,2014
4,Arizona,928237,618060,2014
5,Arkansas,376958,263690,2014
6,California,6279161,3935624,2014
7,Colorado,728330,524058,2014
8,Connecticut,514339,332605,2014
9,Delaware,128813,94258,2014
10,District of Columbia,146989,113879,2014
11,Florida,2422498,1658390,2014
12,Georgia,1412967,1033985,2014
13,Hawaii,212275,166563,2014
14,Idaho,236179,168275,2014
15,Illinois,2193193,1466222,2014
16,Indiana,942944,711831,2014
17,Iowa,518438,391614,2014
18,Kansas,474347,333714,2014
19,Kentucky,676355,505295,2014
20,Louisiana,758732,596743,2014
21,Maine,176084,137479,2014
22,Maryland,971964,634323,2014
23,Massachusetts,1030262,694478,2014
24,Michigan,1372849,937110,2014
25,Minnesota,846095,556257,2014
26,Mississippi,385248,244315,2014
27,Missouri,737644,532833,2014
28,Montana,165193,114877,2014
29,Nebraska,278649,198271,2014
30,Nevada,412320,343542,2014
31,New Hampshire,190665,138032,2014
32,New Jersey,1251187,817481,2014
33,New Mexico,280391,189253,2014
34,New York,3225265,2085101,2014
35,North Carolina,1472838,1002485,2014
36,North Dakota,127208,89899,2014
37,Ohio,1586944,1163433,2014
38,Oklahoma,556601,431113,2014
39,Oregon,542071,397883,2014
40,Pennsylvania,1965155,1436491,2014
41,Rhode Island,163709,120058,2014
42,South Carolina,694428,466135,2014
43,South Dakota,124889,91161,2014
44,Tennessee,982666,767957,2014
45,Texas,4158037,3006926,2014
46,Utah,481604,341906,2014
47,Vermont,90861,65859,2014
48,Virginia,1186871,772476,2014
49,Washington,1075960,866035,2014
50,West Virginia,249366,186079,2014
51,Wisconsin,760531,558287,2014
52,Wyoming,87055,65001,2014
0, -> Total,47861219,33267154,2015
1, -> Total -> Total No,47861219,33267154,2015
2,Alabama,690769,464632,2015
3,Alaska,110052,89126,2015
4,Arizona,975594,654940,2015
5,Arkansas,406608,286967,2015
6,California,6478424,4069692,2015
7,Colorado,751086,553505,2015
8,Connecticut,476269,297004,2015
9,Delaware,112459,83104,2015
10,District of Columbia,144485,103316,2015
11,Florida,2660706,1918771,2015
12,Georgia,1446951,1010103,2015
13,Hawaii,198007,147730,2015
14,Idaho,219076,162456,2015
15,Illinois,2107192,1418926,2015
16,Indiana,934098,663866,2015
17,Iowa,491294,335900,2015
18,Kansas,433749,286277,2015
19,Kentucky,625043,449366,2015
20,Louisiana,699861,512872,2015
21,Maine,146606,120389,2015
22,Maryland,911864,596812,2015
23,Massachusetts,1162478,790260,2015
24,Michigan,1371752,941586,2015
25,Minnesota,863525,583864,2015
26,Mississippi,384153,265113,2015
27,Missouri,850417,685980,2015
28,Montana,151681,107813,2015
29,Nebraska,289510,202160,2015
30,Nevada,411042,313132,2015
31,New Hampshire,164270,127493,2015
32,New Jersey,1387503,925015,2015
33,New Mexico,308865,189617,2015
34,New York,3226648,2110692,2015
35,North Carolina,1423375,1044339,2015
36,North Dakota,130188,97733,2015
37,Ohio,1530025,1081998,2015
38,Oklahoma,595443,470652,2015
39,Oregon,596866,433903,2015
40,Pennsylvania,1895380,1347401,2015
41,Rhode Island,159103,113840,2015
42,South Carolina,655202,497447,2015
43,South Dakota,120068,89492,2015
44,Tennessee,1009429,801108,2015
45,Texas,4233612,2914120,2015
46,Utah,536731,386192,2015
47,Vermont,86737,60986,2015
48,Virginia,1116265,792244,2015
49,Washington,986746,807239,2015
50,West Virginia,263376,198628,2015
51,Wisconsin,840634,595626,2015
52,Wyoming,90002,65727,2015
0, -> Total,48202585,33407479,2016
1, -> Total -> Total No,48202585,33407479,2016
2,Alabama,770180,576372,2016
3,Alaska,107574,82841,2016
4,Arizona,1004678,666722,2016
5,Arkansas,399021,301771,2016
6,California,6232421,4067409,2016
7,Colorado,830520,588322,2016
8,Connecticut,467762,304263,2016
9,Delaware,120511,78095,2016
10,District of Columbia,146812,109661,2016
11,Florida,2610861,1869477,2016
12,Georgia,1407021,1023789,2016
13,Hawaii,213753,157120,2016
14,Idaho,242140,175276,2016
15,Illinois,1988233,1242109,2016
16,Indiana,946129,683389,2016
17,Iowa,473892,330121,2016
18,Kansas,426632,301707,2016
19,Kentucky,607062,425209,2016
20,Louisiana,695630,481844,2016
21,Maine,158967,111130,2016
22,Maryland,897902,592325,2016
23,Massachusetts,1147255,792350,2016
24,Michigan,1443796,1028463,2016
25,Minnesota,851591,551580,2016
26,Mississippi,404323,316888,2016
27,Missouri,803281,615428,2016
28,Montana,148244,104319,2016
29,Nebraska,310327,232951,2016
30,Nevada,443216,319552,2016
31,New Hampshire,170783,121306,2016
32,New Jersey,1379059,866181,2016
33,New Mexico,302930,204874,2016
34,New York,3077813,1860518,2016
35,North Carolina,1547076,1108265,2016
36,North Dakota,131833,96324,2016
37,Ohio,1816427,1300571,2016
38,Oklahoma,597398,464575,2016
39,Oregon,559216,401238,2016
40,Pennsylvania,1925081,1288069,2016
41,Rhode Island,146496,99713,2016
42,South Carolina,646238,513444,2016
43,South Dakota,117398,83398,2016
44,Tennessee,1005147,782099,2016
45,Texas,4348783,3137353,2016
46,Utah,576905,337498,2016
47,Vermont,87435,63237,2016
48,Virginia,1212868,870037,2016
49,Washington,1076632,836890,2016
50,West Virginia,260569,184746,2016
51,Wisconsin,830295,594782,2016
52,Wyoming,86469,61878,2016
0, -> Total,48201941,34021423,2017
1, -> Total -> Total No,48201941,34021423,2017
2,Alabama,707522,495674,2017
3,Alaska,118671,91227,2017
4,Arizona,949562,589947,2017
5,Arkansas,428141,309301,2017
6,California,6181746,4176577,2017
7,Colorado,879073,657736,2017
8,Connecticut,535691,357618,2017
9,Delaware,124139,84801,2017
10,District of Columbia,149288,121856,2017
11,Florida,2721601,1892377,2017
12,Georgia,1543690,1139619,2017
13,Hawaii,189438,139801,2017
14,Idaho,251236,183117,2017
15,Illinois,1942059,1287899,2017
16,Indiana,1007355,755510,2017
17,Iowa,521294,383641,2017
18,Kansas,426859,271300,2017
19,Kentucky,614952,450839,2017
20,Louisiana,617255,475464,2017
21,Maine,159980,122389,2017
22,Maryland,900723,555414,2017
23,Massachusetts,1071273,661581,2017
24,Michigan,1504170,1029292,2017
25,Minnesota,805621,574920,2017
26,Mississippi,386864,297325,2017
27,Missouri,795266,630565,2017
28,Montana,155466,104235,2017
29,Nebraska,273214,192044,2017
30,Nevada,465755,345134,2017
31,New Hampshire,193813,141437,2017
32,New Jersey,1376450,887094,2017
33,New Mexico,297444,228260,2017
34,New York,3097152,2106937,2017
35,North Carolina,1629164,1204127,2017
36,North Dakota,106573,76735,2017
37,Ohio,1739249,1345047,2017
38,Oklahoma,544661,442865,2017
39,Oregon,589310,436745,2017
40,Pennsylvania,1809184,1410720,2017
41,Rhode Island,154295,106661,2017
42,South Carolina,681919,526820,2017
43,South Dakota,134836,97598,2017
44,Tennessee,1056230,807814,2017
