State,Year,Total Federal Revenue
New Jersey,2013,1579889
New Jersey,2014,1529624
New Jersey,2015,1589570
New Jersey,2016,1557900
New Jersey,2017,1562965
New Mexico,2009,160294
New Mexico,2010,277985
New Mexico,2011,186844
New Mexico,2012,160050
New Mexico,2013,145905
New Mexico,2014,155894
New Mexico,2015,158373
New Mexico,2016,155453
New Mexico,2017,163451
New York,2009,1531263
New York,2010,2310440
New York,2011,2533882
New York,2012,2007733
New York,2013,1721213
New York,2014,1692769
New York,2015,1676820
New York,2016,1680983
New York,2017,1678166
North Carolina,2009,768972
North Carolina,2010,768319
North Carolina,2011,968529
North Carolina,2012,773014
North Carolina,2013,715944
North Carolina,2014,690122
North Carolina,2015,688990
North Carolina,2016,689756
North Carolina,2017,686087
North Dakota,2009,656298
North Dakota,2010,813110
North Dakota,2011,848637
North Dakota,2012,550894
North Dakota,2013,471682
North Dakota,2014,521463
North Dakota,2015,577106
North Dakota,2016,582560
North Dakota,2017,558120
Ohio,2009,1811141
Ohio,2010,2977089
Ohio,2011,3371827
Ohio,2012,2145208
Ohio,2013,2049113
Ohio,2014,1812609
Ohio,2015,1857885
Ohio,2016,1904293
Ohio,2017,2002866
Oklahoma,2009,206225
Oklahoma,2010,247217
Oklahoma,2011,234111
Oklahoma,2012,204682
Oklahoma,2013,193393
Oklahoma,2014,186551
Oklahoma,2015,184718
Oklahoma,2016,175379
Oklahoma,2017,177415
Oregon,2009,734602
Oregon,2010,1058473
Oregon,2011,1041572
Oregon,2012,848254
Oregon,2013,814137
Oregon,2014,812536
Oregon,2015,836137
Oregon,2016,840786
Oregon,2017,854322
Pennsylvania,2009,201889
Pennsylvania,2010,250554
Pennsylvania,2011,262395
Pennsylvania,2012,212615
Pennsylvania,2013,194731
Pennsylvania,2014,186216
Pennsylvania,2015,206853
Pennsylvania,2016,196644
Pennsylvania,2017,200076
Rhode Island,2009,4913841
Rhode Island,2010,7984614
Rhode Island,2011,7818075
Rhode Island,2012,6140296
Rhode Island,2013,5695947
Rhode Island,2014,5643178
Rhode Island,2015,5830972
Rhode Island,2016,5953348
Rhode Island,2017,5966469
South Carolina,2009,535223
South Carolina,2010,570301
South Carolina,2011,500782
South Carolina,2012,426702
South Carolina,2013,409774
South Carolina,2014,385210
South Carolina,2015,400213
South Carolina,2016,394060
South Carolina,2017,423415
South Dakota,2009,102453
South Dakota,2010,173528
South Dakota,2011,106823
South Dakota,2012,124451
South Dakota,2013,114697
South Dakota,2014,102434
South Dakota,2015,105333
South Dakota,2016,111891
South Dakota,2017,110164
Tennessee,2009,914507
Tennessee,2010,1532041
Tennessee,2011,1427301
Tennessee,2012,1365551
Tennessee,2013,1108879
Tennessee,2014,1009659
Tennessee,2015,1012205
Tennessee,2016,1058146
Tennessee,2017,1131679
Texas,2009,1385421
Texas,2010,1400984
Texas,2011,1367629
Texas,2012,1057045
Texas,2013,1042200
Texas,2014,1030232
Texas,2015,1036422
Texas,2016,1097684
Texas,2017,1068053
Utah,2009,355325
Utah,2010,513794
Utah,2011,510256
