,State,Year,Total Federal Revenue,Total State Revenue,Employed per 1k,% Employed,Teacher Pay,Pop. Below Poverty Level,Percent of Pop. Below Poverty Level,Grdn Bachelor Degree+,Grdn HS Diploma or GED,Grdn No HS Diploma,Grdn Some College,Student/Teacher Ratio,Teen Preg. Rate (State),Dropouts,Food Insecurity Rate,Child food insecurity rate
38,California,2011,969288.0,3493923.0,371.0,17.1,69496.0,2084522.0,22.8,8060.0,6841.0,6672.0,8077.0,23.4,28.7,88000.0,0.16708620689655174,0.2608965517241379
39,California,2012,705634.0,3702427.0,389.0,17.5,69324.0,2167372.0,23.8,8231.0,6872.0,6656.0,8247.0,23.66,26.5,79000.0,0.16018965517241374,0.25787931034482753
40,California,2013,696266.0,3693829.0,405.0,18.8,70126.0,2121351.0,23.5,8769.0,6663.0,6223.0,8693.0,24.33,23.6,73000.0,0.15456896551724136,0.2570689655172414
41,California,2014,681230.0,3961719.0,391.0,18.2,72535.0,2047259.0,22.7,8980.0,6818.0,6105.0,8620.0,23.58,21.1,62000.0,0.1466206896551724,0.24287931034482757
42,California,2015,715254.0,4354525.0,466.0,22.2,72842.0,1901505.0,21.2,8932.0,7358.0,6203.0,8605.0,23.63,19.0,59000.0,0.13767241379310347,0.22046551724137936
43,California,2016,713914.0,4365019.0,475.0,23.0,78711.0,1785347.0,19.9,9451.0,7168.0,5964.0,8939.0,23.26,17.0,62000.0,0.1306551724137931,0.20408620689655163
44,California,2017,697569.0,4479341.0,462.0,22.7,81126.0,1618889.0,18.1,9643.0,7166.0,6035.0,8825.0,23.22,15.1,57000.0,0.12389655172413795,0.19336206896551725
46,Colorado,2010,180584.0,992422.0,69.0,27.1,49938.0,210532.0,17.4,1407.0,959.0,573.0,988.0,17.37,33.4,15000.0,0.14257812499999997,0.215625
47,Colorado,2011,192182.0,1010026.0,77.0,29.5,50407.0,217049.0,17.9,1417.0,904.0,560.0,1086.0,17.77,28.9,16000.0,0.13360937499999995,0.20771874999999998
48,Colorado,2012,183793.0,1090060.0,77.0,29.0,49844.0,223970.0,18.5,1393.0,888.0,593.0,1136.0,17.65,25.4,11000.0,0.1363125,0.2151875000000001
49,Colorado,2013,151096.0,1124112.0,90.0,30.6,50651.0,206642.0,16.9,1510.0,846.0,641.0,1140.0,17.48,23.4,11000.0,0.13559374999999999,0.21604687499999992
50,Colorado,2014,133055.0,1137764.0,87.0,32.2,49828.0,190045.0,15.4,1604.0,930.0,552.0,1165.0,17.3,20.3,13000.0,0.12810937500000003,0.20159374999999996
51,Colorado,2015,137544.0,1142333.0,,,50039.0,182541.0,14.7,1568.0,1006.0,589.0,1159.0,17.36,19.3,14000.0,0.11862500000000004,0.17729687500000002
52,Colorado,2016,134412.0,1172219.0,,,46506.0,166204.0,13.4,1595.0,1093.0,499.0,1189.0,17.4,17.8,13000.0,0.11062500000000004,0.16435937499999995
53,Colorado,2017,138436.0,1306037.0,,,52389.0,149043.0,12.0,1728.0,1040.0,468.0,1218.0,17.38,16.1,12000.0,0.10560937500000002,0.14970312499999996
55,Connecticut,2010,80585.0,0.0,66.0,31.6,65571.0,103498.0,12.8,961.0,788.0,409.0,666.0,13.05,18.7,8000.0,0.1205,0.172125
56,Connecticut,2011,155505.0,0.0,59.0,28.0,70821.0,118809.0,14.9,968.0,800.0,438.0,691.0,12.66,16.4,7000.0,0.118,0.1695
57,Connecticut,2012,137742.0,0.0,56.0,25.1,69766.0,116536.0,14.8,1009.0,759.0,431.0,677.0,12.54,15.1,6000.0,0.12225,0.17812499999999998
58,Connecticut,2013,129874.0,0.0,53.0,24.7,70584.0,112723.0,14.5,1011.0,736.0,447.0,688.0,12.57,12.9,6000.0,0.122875,0.181625
59,Connecticut,2014,134959.0,0.0,53.0,27.3,71709.0,113712.0,14.9,1024.0,747.0,441.0,713.0,12.9,11.5,6000.0,0.11975,0.171875
60,Connecticut,2015,146366.0,0.0,46.0,21.5,72013.0,109293.0,14.5,1075.0,747.0,403.0,727.0,12.29,10.1,5000.0,0.1125,0.15874999999999997
61,Connecticut,2016,154922.0,0.0,58.0,27.2,72561.0,95597.0,12.9,1021.0,806.0,412.0,720.0,12.64,9.4,6000.0,0.10725,0.150125
62,Connecticut,2017,167840.0,0.0,,,73113.0,92583.0,12.6,1112.0,769.0,409.0,671.0,11.79,8.8,3000.0,0.10475,0.145625
64,Delaware,2010,4200103.0,8216582.0,13.0,25.0,57934.0,36655.0,18.1,176.0,235.0,126.0,173.0,14.49,30.5,3000.0,0.12,0.18100000000000002
65,Delaware,2011,4710376.0,9069119.0,15.0,29.1,58800.0,35216.0,17.5,180.0,243.0,124.0,177.0,15.02,29.3,3000.0,0.11533333333333333,0.171
66,Delaware,2012,3068321.0,8702317.0,13.0,25.5,59679.0,34875.0,17.4,195.0,237.0,124.0,181.0,13.94,25.0,3000.0,0.11833333333333333,0.17866666666666664
67,Delaware,2013,3027018.0,9455562.0,14.0,27.8,60571.0,36060.0,18.0,197.0,229.0,112.0,192.0,14.03,24.7,1000.0,0.12033333333333333,0.18933333333333333
68,Delaware,2014,3112027.0,10460928.0,15.0,28.0,59195.0,35491.0,17.7,207.0,224.0,108.0,197.0,13.89,20.7,1000.0,0.119,0.18033333333333332
69,Delaware,2015,3118041.0,10661586.0,13.0,30.6,59085.0,38972.0,19.4,218.0,240.0,109.0,189.0,15.05,18.1,2000.0,0.11633333333333333,0.16933333333333334
70,Delaware,2016,3147329.0,10963807.0,,,60214.0,35002.0,17.4,214.0,273.0,105.0,194.0,14.8,19.5,3000.0,0.11466666666666665,0.16566666666666666
71,Delaware,2017,3202127.0,11346682.0,18.0,37.2,60484.0,36755.0,18.5,203.0,288.0,115.0,175.0,14.5,18.5,1000.0,0.11466666666666665,0.166
73,District of Columbia,2010,2598486.0,6739406.0,3.0,11.1,66601.0,30555.0,30.4,239.0,96.0,80.0,84.0,12.03,45.4,2000.0,0.16459509672381475,0.3074148256654011
74,District of Columbia,2011,2267161.0,7492489.0,3.0,13.2,68720.0,31769.0,30.3,263.0,99.0,73.0,83.0,11.77,42.8,2000.0,0.147,0.27699999999999997
75,District of Columbia,2012,1862297.0,7455147.0,3.0,13.2,70906.0,28623.0,26.5,276.0,99.0,75.0,79.0,12.85,38.6,1000.0,0.14,0.275
76,District of Columbia,2013,1805878.0,7580785.0,3.0,14.4,73162.0,29705.0,27.2,294.0,99.0,66.0,77.0,13.04,32.1,2000.0,0.14,0.273
77,District of Columbia,2014,1804212.0,7837335.0,3.0,12.3,75490.0,29404.0,26.0,303.0,110.0,63.0,77.0,12.33,28.4,1000.0,0.135,0.255
