State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
ALABAMA,743789,40766.22,18.25
ALASKA,132477,7832.15,16.91
AMERICAN SAMOA,–,–,–
ARIZONA,1109040,47943.56,23.13
ARKANSAS,492132,35803.87,13.75
BUREAU OF INDIAN EDUCATION,–,–,–
CALIFORNIA,6226737,263474.9,23.63
COLORADO,899112,51798.13,17.36
CONNECTICUT,537933,43772.31,12.29
DELAWARE,134847,8961.71,15.05
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,74970,–,–
DISTRICT OF COLUMBIA,84024,6789.09,12.38
FLORIDA,2792234,182586.3,15.29
GEORGIA,1757237,113031,15.55
GUAM,30821,2336,13.19
HAWAII,181995,11746.9,15.49
IDAHO,292277,15656.42,18.67
ILLINOIS,2041779,129948.2,15.71
INDIANA,1046757,57674.85,18.15
IOWA,508014,35687.49,14.24
KANSAS,495884,40035.33,12.39
KENTUCKY,686598,41902.11,16.39
LOUISIANA,718711,58469.25,12.29
MAINE,181613,14857,12.22
MARYLAND,879601,59414.16,14.8
MASSACHUSETTS,964026,71969.18,13.39
MICHIGAN,1536231,84181.03,18.25
MINNESOTA,864384,55985.23,15.44
MISSISSIPPI,487200,32175.03,15.14
MISSOURI,919234,67635.28,13.59
MONTANA,145319,10412.36,13.96
NEBRASKA,316014,23308.3,13.56
NEVADA,467527,22702.01,20.59
NEW HAMPSHIRE,182425,14769.7,12.35
NEW JERSEY,1408845,114968.5,12.25
NEW MEXICO,335694,21721.65,15.45
NEW YORK,2711626,206086.1,13.16
NORTH CAROLINA,1544934,99354.57,15.55
NORTH DAKOTA,108644,9194.74,11.82
OHIO,1716585,101741.9,16.87
OKLAHOMA,692878,42452.42,16.32
OREGON,576407,29086.1,19.82
PENNSYLVANIA,1717414,120892.6,14.21
PUERTO RICO,379818,30438,12.48
RHODE ISLAND,142014,10631.38,13.36
SOUTH CAROLINA,763533,50236.8,15.2
SOUTH DAKOTA,134253,9638.25,13.93
TENNESSEE,1001235,66488,15.06
TEXAS,5301477,347328.6,15.26
U.S. VIRGIN ISLANDS,13805,1106,12.48
UTAH,647870,28347.7,22.85
VERMONT,87866,8338.37,10.54
VIRGINIA,1283590,90255.26,14.22
WASHINGTON,1087030,57942.31,18.76
WEST VIRGINIA,277452,19664.32,14.11
WISCONSIN,867800,58184.6,14.91
WYOMING,94717,7653.43,12.38
