State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
ALABAMA,744621,47722.67,15.6
ALASKA,131167,8087.87,16.22
AMERICAN SAMOA,–,–,–
ARIZONA,1080319,50800.15,21.27
ARKANSAS,483114,33982.96,14.22
BUREAU OF INDIAN EDUCATION,–,–,–
CALIFORNIA,6287834,268688.93,23.4
COLORADO,854265,48077.76,17.77
CONNECTICUT,554437,43804.81,12.66
DELAWARE,128946,8587.21,15.02
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–
DISTRICT OF COLUMBIA,73911,6278.06,11.77
FLORIDA,2668156,175006.3,15.25
GEORGIA,1685016,111133.3,15.16
GUAM,31243,2291,13.64
HAWAII,182706,11458.37,15.95
IDAHO,279873,15990.44,17.5
ILLINOIS,2083097,131777.31,15.81
INDIANA,1040765,62338.58,16.7
IOWA,495870,34658.15,14.31
KANSAS,486108,37407.3,13
KENTUCKY,681987,41859.68,16.29
LOUISIANA,703390,48657.02,14.46
MAINE,188969,14888.04,12.69
MARYLAND,854086,57589.05,14.83
MASSACHUSETTS,953369,69342.38,13.75
MICHIGAN,1573537,86997.36,18.09
MINNESOTA,839738,52832.26,15.89
MISSISSIPPI,490619,32006.66,15.33
MISSOURI,916584,66251.53,13.83
MONTANA,142349,10152.67,14.02
NEBRASKA,301296,22181.95,13.58
NEVADA,439634,21131.5,20.8
NEW HAMPSHIRE,191900,15049.2,12.75
NEW JERSEY,1356431,109719.1,12.36
NEW MEXICO,337225,21956.68,15.36
NEW YORK,2704718,209526.78,12.91
NORTH CAROLINA,1507864,97308.09,15.5
NORTH DAKOTA,97646,8525.02,11.45
NORTHERN MARIANAS,11011,496,22.2
OHIO,1740030,107971.68,16.12
OKLAHOMA,666120,41349.4,16.11
OREGON,568208,26790.98,21.21
PENNSYLVANIA,1771395,124645.61,14.21
PUERTO RICO,452740,33079,13.69
RHODE ISLAND,142854,11414,12.52
SOUTH CAROLINA,727186,46782.2,15.54
SOUTH DAKOTA,128016,9246.78,13.84
TENNESSEE,999693,66381.7,15.06
TEXAS,5000470,324281.97,15.42
U.S. VIRGIN ISLANDS,15711,1217,12.91
UTAH,598832,25969.65,23.06
VERMONT,89908,8363.69,10.75
VIRGINIA,1257883,90831.79,13.85
WASHINGTON,1045453,53118.65,19.68
WEST VIRGINIA,282870,20247.47,13.97
WISCONSIN,871105,56244.93,15.49
WYOMING,90099,7846.91,11.48
