,State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
576,OHIO,1754191,109281.94,16.05
577,OKLAHOMA,659911,41277.8,15.99
578,OREGON,570720,28109.27,20.3
579,PENNSYLVANIA,1793284,129911.39,13.8
580,PUERTO RICO,473735,36505.93,12.98
581,RHODE ISLAND,143793,11211.8,12.83
582,SOUTH CAROLINA,725838,45210.4,16.05
583,SOUTH DAKOTA,126128,9511.67,13.26
584,TENNESSEE,987422,66558.1,14.84
585,TEXAS,4935715,334996.94,14.73
586,U.S. VIRGIN ISLANDS,15495,1457,10.63
587,UTAH,585552,25676.71,22.8
588,VERMONT,96858,8382.08,11.56
589,VIRGINIA,1251440,70947.13,17.64
590,WASHINGTON,1043788,53934.11,19.35
591,WEST VIRGINIA,282879,20338.46,13.91
592,WISCONSIN,872286,57625.42,15.14
593,WYOMING,89009,7127.45,12.49
