State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
ALABAMA,746204,47161.77,15.82
ALASKA,130944,7898.26,16.58
AMERICAN SAMOA,–,–,–
ARIZONA,1102445,48358.73,22.8
ARKANSAS,489979,34933.04,14.03
BUREAU OF INDIAN EDUCATION,–,–,–
CALIFORNIA,6312623,259505.79,24.33
COLORADO,876999,50157.36,17.48
CONNECTICUT,546200,43443.09,12.57
DELAWARE,131687,9388.06,14.03
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–
DISTRICT OF COLUMBIA,78153,5991.43,13.04
FLORIDA,2720744,177853.2,15.3
GEORGIA,1723909,109441,15.75
GUAM,33414,2291,14.58
HAWAII,186825,11780.65,15.86
IDAHO,296476,15001.72,19.76
ILLINOIS,2066990,136355.18,15.16
INDIANA,1047385,59823.14,17.51
IOWA,502964,35396.65,14.21
KANSAS,496440,38152.9,13.01
KENTUCKY,677389,41820.21,16.2
LOUISIANA,711491,46436.91,15.32
MAINE,183995,15451.67,11.91
MARYLAND,866169,58611.02,14.78
MASSACHUSETTS,955739,70489.56,13.56
MICHIGAN,1548841,85786.16,18.05
MINNESOTA,850973,54412.59,15.64
MISSISSIPPI,492586,32292.27,15.25
MISSOURI,918288,66651.04,13.78
MONTANA,144129,10310.32,13.98
NEBRASKA,307677,22401.06,13.73
NEVADA,451831,21920.59,20.61
NEW HAMPSHIRE,186310,14826.1,12.57
NEW JERSEY,1370295,114581.2,11.96
NEW MEXICO,339244,22238.71,15.25
NEW YORK,2732770,206692.51,13.22
NORTH CAROLINA,1530857,99326.62,15.41
NORTH DAKOTA,103947,8805.41,11.8
NORTHERN MARIANAS,10638,417,25.51
OHIO,1724111,106010.29,16.26
OKLAHOMA,681848,41982.6,16.24
OREGON,593000,26733.39,22.18
PENNSYLVANIA,1755236,121329.77,14.47
PUERTO RICO,423934,33412,12.69
RHODE ISLAND,142008,9824.05,14.46
SOUTH CAROLINA,745657,48151.2,15.49
SOUTH DAKOTA,130890,9509.63,13.76
TENNESSEE,993556,65847.2,15.09
TEXAS,5153702,334580.15,15.4
U.S. VIRGIN ISLANDS,14953,1082,13.82
UTAH,625461,27246.92,22.96
VERMONT,88690,8375.35,10.59
VIRGINIA,1273825,90097.56,14.14
WASHINGTON,1058936,54866.76,19.3
WEST VIRGINIA,280958,19978.02,14.06
WISCONSIN,874414,57980.2,15.08
WYOMING,92732,7555.19,12.27
