State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
ALABAMA,744930,42532.95,17.51
ALASKA,132737,7824.91,16.96
AMERICAN SAMOA,–,0,†
ARIZONA,1123137,48220.08,23.29
ARKANSAS,493447,35730.3,13.81
BUREAU OF INDIAN EDUCATION,45399,0,†
CALIFORNIA,6309138,271287.08,23.26
COLORADO,905019,52014.13,17.4
CONNECTICUT,535118,42343.2,12.64
DELAWARE,136264,9208.2,14.8
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,0,†
DISTRICT OF COLUMBIA,85850,6726.99,12.76
FLORIDA,2816791,186339.1,15.12
GEORGIA,1764346,114762.5,15.37
GUAM,30758,2289,13.44
HAWAII,181550,11781.66,15.41
IDAHO,297200,16203.9,18.34
ILLINOIS,2026718,128893.43,15.72
INDIANA,1049547,60161.63,17.45
IOWA,509831,35808.04,14.24
KANSAS,494347,36193.25,13.66
KENTUCKY,684017,42028.74,16.27
LOUISIANA,716293,48408.12,14.8
MAINE,180512,14750.1,12.24
MARYLAND,886221,59703.26,14.84
MASSACHUSETTS,964514,72413.04,13.32
MICHIGAN,1528666,83597.16,18.29
MINNESOTA,875021,56714.54,15.43
MISSISSIPPI,483150,31924.48,15.13
MISSOURI,915040,67926.23,13.47
MONTANA,146375,10555.18,13.87
NEBRASKA,319194,23610.86,13.52
NEVADA,473744,23704.67,19.99
NEW HAMPSHIRE,180888,14759.6,12.26
NEW JERSEY,1410421,115728.83,12.19
NEW MEXICO,336263,21331.02,15.76
NEW YORK,2729776,209151.31,13.05
NORTH CAROLINA,1550062,100219.61,15.47
NORTH DAKOTA,109706,9265.3,11.84
OHIO,1710143,102600.18,16.67
OKLAHOMA,693903,41089.67,16.89
OREGON,578947,29755.96,19.46
PENNSYLVANIA,1727497,122551.85,14.1
PUERTO RICO,365181,28899,12.64
RHODE ISLAND,142150,10688.74,13.3
SOUTH CAROLINA,771250,50789.4,15.19
SOUTH DAKOTA,136302,9777.16,13.94
TENNESSEE,1001562,64270.3,15.58
TEXAS,5360849,352808.91,15.19
U.S. VIRGIN ISLANDS,13194,1154,11.43
UTAH,659801,28841.23,22.88
VERMONT,88428,8186.57,10.8
VIRGINIA,1287026,91627.58,14.05
WASHINGTON,1101711,58815.27,18.73
WEST VIRGINIA,273855,19356.2,14.15
WISCONSIN,864432,59010.89,14.65
WYOMING,94170,7505.65,12.55
