State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
ALABAMA,748889,47492,15.77
ALASKA,131661,8083.1,16.29
AMERICAN SAMOA,–,–,–
ARIZONA,1077831,51947.23,20.75
ARKANSAS,480559,37240,12.9
BUREAU OF INDIAN EDUCATION,41351,–,–
CALIFORNIA,6263438,316298.58,19.8
COLORADO,832368,49060.32,16.97
CONNECTICUT,563968,43592.83,12.94
DELAWARE,126801,8639.58,14.68
DISTRICT OF COLUMBIA,69433,5854,11.86
DODDS (DOMESTIC),–,–,–
DODDS (OVERSEAS),–,–,–
FLORIDA,2634522,183827,14.33
GEORGIA,1667685,115917.9,14.39
GUAM,–,–,–
HAWAII,180196,11471.65,15.71
IDAHO,276299,15200.87,18.18
ILLINOIS,2104175,138482.93,15.19
INDIANA,1046661,62258,16.81
IOWA,491842,35842.15,13.72
KANSAS,474489,34700.1,13.67
KENTUCKY,680089,41980.96,16.2
LOUISIANA,690915,49646.1,13.92
MAINE,189225,16331.4,11.59
MARYLAND,848412,58462.9,14.51
MASSACHUSETTS,957053,69909.18,13.69
MICHIGAN,1649082,92691.22,17.79
MINNESOTA,837053,52839.12,15.84
MISSISSIPPI,492481,33103.49,14.88
MISSOURI,917982,67795.77,13.54
MONTANA,141807,10521.25,13.48
NEBRASKA,295368,22256.24,13.27
NEVADA,428947,22103.52,19.41
NEW HAMPSHIRE,197140,15490.6,12.73
NEW JERSEY,1396029,115248,12.11
NEW MEXICO,334419,22723.73,14.72
NEW YORK,2766052,214803.59,12.88
NORTH CAROLINA,1483397,105036.39,14.12
NORTH DAKOTA,95073,8365.6,11.36
NORTHERN MARIANAS,10961,552,19.86
OHIO,1764297,111377.53,15.84
OKLAHOMA,654802,42614.6,15.37
OREGON,582839,28768.01,20.26
PENNSYLVANIA,1785993,130983.79,13.64
PUERTO RICO,493393,39102,12.62
RHODE ISLAND,145118,11366.23,12.77
SOUTH CAROLINA,723143,46979.5,15.39
SOUTH DAKOTA,123713,9325.99,13.27
TENNESSEE,972549,65360.69,14.88
TEXAS,4850210,333163.82,14.56
U.S. VIRGIN ISLANDS,15493,1425.1,10.87
UTAH,571586,25615.06,22.31
VERMONT,91451,8733.88,10.47
VIRGINIA,1245340,70827.39,17.58
WASHINGTON,1035347,53447.82,19.37
WEST VIRGINIA,282662,20298.84,13.93
WISCONSIN,872436,58425.7,14.93
WYOMING,88155,7165.53,12.3
