State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
ALABAMA,744164,42736.79,17.41
ALASKA,131176,7759.08,16.91
ARIZONA,1111695,48124.48,23.1
ARKANSAS,490917,35430.04,13.86
BUREAU OF INDIAN EDUCATION,–,–,–
CALIFORNIA,6312161,267685.03,23.58
COLORADO,889006,51388.05,17.3
CONNECTICUT,542678,42061.94,12.9
DELAWARE,134042,9648.75,13.89
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–
DISTRICT OF COLUMBIA,80958,6565.3,12.33
FLORIDA,2756944,180442.27,15.28
GEORGIA,1744437,111469.8,15.65
GUAM,31144,2286,13.62
HAWAII,182384,11662.71,15.64
IDAHO,290885,15609.12,18.64
ILLINOIS,2050239,132455.94,15.48
INDIANA,1046269,56547.39,18.5
IOWA,505311,35684.09,14.16
KANSAS,497275,37659.08,13.2
KENTUCKY,688640,41585.62,16.56
LOUISIANA,716800,46339.54,15.47
MAINE,182470,14936.73,12.22
MARYLAND,874514,59194.27,14.77
MASSACHUSETTS,955844,71859.02,13.3
MICHIGAN,1537922,85038.32,18.09
MINNESOTA,857235,55689.64,15.39
MISSISSIPPI,490917,32311.15,15.19
MISSOURI,917785,67355.55,13.63
MONTANA,144532,10234.46,14.12
NEBRASKA,312635,22987.69,13.6
NEVADA,459189,21655.67,21.2
NEW HAMPSHIRE,184670,14772.8,12.5
NEW JERSEY,1400579,115066.79,12.17
NEW MEXICO,340365,22410.92,15.19
NEW YORK,2741185,203780.87,13.45
NORTH CAROLINA,1548895,99320.47,15.59
NORTH DAKOTA,106586,9049,11.78
OHIO,1724810,106526,16.19
OKLAHOMA,688511,42073.15,16.36
OREGON,601318,27850.15,21.59
PENNSYLVANIA,1743160,122029.58,14.28
PUERTO RICO,410950,31186,13.18
RHODE ISLAND,141959,9471.1,14.99
SOUTH CAROLINA,756523,49475,15.29
SOUTH DAKOTA,133040,9617.7,13.83
TENNESSEE,995475,65340.6,15.24
TEXAS,5233765,342257.43,15.29
U.S. VIRGIN ISLANDS,14241,1131,12.59
UTAH,635577,27374,23.22
VERMONT,87311,8275.73,10.55
VIRGINIA,1280381,89967.71,14.23
WASHINGTON,1073638,59554.87,18.03
WEST VIRGINIA,280310,20029.09,14
WISCONSIN,871432,58376,14.93
WYOMING,94067,7614.59,12.35
